market,seed,model,qlike,mse_variance,n_obs,n_violations,violation_rate,kupiec_pvalue,chris_p_cc
nat_gas,8,nat_gas GARCHNet,-5.47983788139328,1.2424255817705242e-05,1423,20,0.014054813773717497,0.14740906731770603,0.26322500576584223
nat_gas,9,nat_gas GARCHNet,-5.412787083548481,1.1932733882307982e-05,1423,23,0.016163035839775124,0.03194898179035475,0.06864819286329697
oil,0,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,1,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,2,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,3,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,4,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,5,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,6,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,7,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,8,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,9,EGARCH,-5.591494597008418,1.544087779510476e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,0,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,1,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,2,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,3,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,4,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,5,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,6,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,7,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,8,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,9,EWMA,-5.954749953089152,1.474041021754792e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,0,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,1,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,2,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,3,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,4,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,5,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,6,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,7,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,8,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,9,GJRGARCH,-5.824638134200294,1.5460656478359474e-05,229,9,0.039301310043668124,0.0007278701022921819,0.0022920347153264613
oil,0,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,1,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,2,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,3,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,4,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,5,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,6,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,7,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,8,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,9,StaticGARCH,-6.033858823264193,1.428948228648699e-05,229,6,0.026200873362445413,0.04043499169273437,0.10414709976093553
oil,0,oil GARCHNet,-6.004120923064537,1.44656174649493e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,1,oil GARCHNet,-6.001328744323046,1.4475400773818627e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,2,oil GARCHNet,-5.99958854649195,1.4493431192665659e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,3,oil GARCHNet,-5.99773067626242,1.4500171501279358e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,4,oil GARCHNet,-6.006813813492629,1.4456712981215603e-05,229,8,0.034934497816593885,0.003114287389015501,0.009460694317663563
oil,5,oil GARCHNet,-5.999534303615695,1.4492312476173537e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,6,oil GARCHNet,-6.005515944603533,1.4470177961843845e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,7,oil GARCHNet,-6.013544142045941,1.441927183251123e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,8,oil GARCHNet,-6.00371909417931,1.4483656824866554e-05,229,7,0.03056768558951965,0.011927906984731203,0.03396130767503675
oil,9,oil GARCHNet,-6.005938748647603,1.4450031874264142e-05,229,8,0.034934497816593885,0.003114287389015501,0.009460694317663563
spy,0,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,1,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,2,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,3,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,4,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,5,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,6,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,7,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,8,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,9,EGARCH,-9.068337532815432,3.519564512231668e-09,313,6,0.019169329073482427,0.1477447978600936,0.31181490915865295
spy,0,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,1,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,2,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,3,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,4,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,5,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,6,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,7,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,8,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,9,EWMA,-8.98555817452146,4.681128615664677e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,0,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,1,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,2,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,3,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,4,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,5,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,6,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,7,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,8,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
spy,9,GJRGARCH,-9.022437791870795,3.864024547383553e-09,313,4,0.012779552715654952,0.635605404202668,0.8485575238695868
