Date,oil GARCHNet | qlike,oil GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2026-01-30,-6.553217037937774,1.3929514650306547e-09,-6.5553669939871515,3.7916662011674986e-10,-6.531868895529615,9.984071558614142e-09,-6.527593217069419,1.1487792607047594e-08,-6.5364538563311845,8.309617699948526e-09
2026-02-02,-5.411868014176667,3.353870083882938e-07,-5.541269126465924,2.798946035612976e-07,-5.230254161952997,3.971572940349251e-07,-5.201514338427835,4.0566021994285243e-07,-5.303508789650133,3.7404980257491944e-07
2026-02-03,-5.9518470954652996,8.01398769266197e-08,-6.006903038272375,3.550589248051508e-08,-6.011156087238593,3.1404114189291433e-08,-5.974797847413298,6.307839436207731e-08,-5.8786009293904655,1.2546206623995812e-07
2026-02-04,-6.3747444176782935,3.06025459827986e-09,-6.378560025897324,5.131728677387023e-10,-6.378649221963333,4.387459362343548e-10,-6.3764518695537,1.9342879850715436e-09,-6.356798084924801,1.3312015644675162e-08
2026-02-05,-6.81818025933883,5.255378068868e-08,-6.763577163384169,9.642719876101394e-08,-6.7988406713604945,6.68139764423203e-08,-6.83518215796139,4.11399470185552e-08,-6.856369073236275,2.8364074484710685e-08
2026-02-06,-6.568367959793218,1.029559713534409e-08,-6.5408088642768085,3.3870581809510375e-08,-6.542857603546786,3.192031432081893e-08,-6.548316834258283,2.687299995085254e-08,-6.580915507224139,1.7484960264527549e-09
2026-02-09,-6.67425910877624,1.3739213826065161e-08,-6.6538078346661,2.83228121776497e-08,-6.653577037206797,2.8501360113400715e-08,-6.665416924090544,1.9738979303913587e-08,-6.690230075508659,4.206039011838233e-09
2026-02-10,-7.337666430692059,1.9740846802278166e-07,-7.291521253267172,2.2617413664936594e-07,-7.29697372300442,2.226051910192632e-07,-7.337525766225308,1.9749133874337624e-07,-7.409916240060723,1.5841709031962343e-07
2026-02-11,-7.109374937403352,7.187127065315015e-08,-7.098058205703198,7.786520940856264e-08,-7.094539136929341,7.978144719759264e-08,-7.1093621145948465,7.18779184455755e-08,-7.150824564763279,5.2027224119240956e-08
2026-02-12,-6.285875834008001,2.8389529459595925e-08,-6.282626782518294,2.9895152378715855e-08,-6.283346009897548,2.956422544837757e-08,-6.270455873770765,3.530665815529585e-08,-6.254404405663129,4.196695811088941e-08
