Date,nat_gas GARCHNet | qlike,nat_gas GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-09-12,-6.497629578580631,2.563182337632851e-07,-6.61418228480829,8.962418457083681e-08,-6.598758697321228,1.0714523952934108e-07,-6.594056001984462,1.1274759301023294e-07,-6.623577283411378,7.958358359394545e-08
2025-09-15,-6.204933980738258,2.83257347974095e-08,-6.224374038856129,7.651906149435615e-10,-6.2251270823892995,7.322490395071874e-12,-6.224697783499307,4.447180254669269e-10,-6.222685139590535,2.368013495785523e-09
2025-09-16,-3.823158589832366,3.940470971642372e-06,-3.2671650395141447,4.681701665728866e-06,-3.292141360864827,4.654614605359999e-06,-3.3055811644717052,4.639846273676756e-06,-3.166605323655313,4.786284936854666e-06
2025-09-17,-6.612418754862271,2.6138548060471e-07,-6.7228194901295915,1.1978993359898217e-07,-6.723078480013239,1.1952367011134968e-07,-6.714368568666138,1.2863591326631054e-07,-6.7410433112662265,1.0174401781425765e-07
2025-09-18,-5.559994103048469,1.598837929880096e-07,-5.359664979471448,4.0323163556123307e-07,-5.3579447841507815,4.048157605699428e-07,-5.333626225218606,4.266098752542625e-07,-5.314589324257069,4.4293454723191353e-07
2025-09-19,-6.552907514251108,3.9193454515045625e-07,-6.670490194389556,2.0136136764684736e-07,-6.638051450649941,2.465976504030368e-07,-6.658732506326412,2.1716063252820316e-07,-6.692358317345288,1.7371233955405518e-07
2025-09-22,-6.043987081839354,8.897439448904552e-09,-6.043757553596027,7.071425170549145e-09,-6.048253649853732,1.2472374752079256e-09,-6.047483420186492,2.298743774907799e-09,-6.037945494360597,1.3893012584039889e-08
2025-09-23,-6.492853394999513,2.7936977397388917e-07,-6.592536781837694,1.255904129698528e-07,-6.558916896245141,1.7073351029654454e-07,-6.54939259121188,1.847193840869416e-07,-6.612524184994001,1.0175648824354131e-07
2025-09-24,-6.509702690772316,2.8787731953104955e-07,-6.624866419550143,1.1644417507332713e-07,-6.595518790958929,1.529285043639827e-07,-6.583877807466439,1.6869821150432801e-07,-6.646538980122602,9.239827627892615e-08
2025-09-25,-6.313315341129009,1.1096777541276658e-07,-6.382540556456133,1.1647174346803632e-08,-6.371913037330994,2.34719553405617e-08,-6.374913608248653,1.9990217472650223e-08,-6.3895793071814095,4.6761084477107196e-09
