Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-07-09,-9.70105398548198,1.024580111154133e-09,-9.278231651927369,4.2530197254413176e-09,-9.359833156416766,3.335836151100689e-09,-9.556007807188168,1.7637555779187367e-09,-9.24542625868043,4.676004980765793e-09
2025-07-10,-9.715007082158857,9.284480466647363e-10,-9.298605110472275,3.933385848791722e-09,-9.391875136710219,2.9584774580928736e-09,-9.621949969425609,1.3453395732313593e-09,-9.272099952403744,4.253640418945568e-09
2025-07-11,-9.879802873366536,8.487249435414714e-10,-9.38631703368005,3.906774366895757e-09,-9.479793964002132,3.0169271500416334e-09,-9.731089994060593,1.4153879554116494e-09,-9.364679786672871,4.1420055021139685e-09
2025-07-14,-9.949151941759265,6.307087608518645e-10,-9.420050511994491,3.5171107732893743e-09,-9.49547591165848,2.844384506645554e-09,-9.667456949654136,1.6994525923000747e-09,-9.405281527762394,3.6634646637615862e-09
2025-07-15,-9.360412582986708,4.8133803713297356e-11,-9.152627328728183,1.2427600675831307e-09,-9.194366116432867,9.036343555599328e-10,-9.283863344487475,3.502006360606902e-10,-9.147810557660623,1.2855140182595011e-09
2025-07-16,-9.07446365125684,3.1504715162336466e-11,-9.004801279165893,5.026001943700985e-10,-9.023660675112007,3.559658363096764e-10,-9.052350605958356,1.652320963414083e-10,-9.004795760985834,5.026455421550366e-10
2025-07-17,-9.717438106055983,5.574768966044038e-10,-9.430988635166846,2.030269726565374e-09,-9.472102776083755,1.7368036166199308e-09,-9.556718723375063,1.2296747371291245e-09,-9.437963912366616,1.9781163102866347e-09
2025-07-18,-9.788537951943436,1.5010432591117506e-09,-9.576759723105194,2.7199967322132415e-09,-9.646864198918536,2.24742473577132e-09,-9.79642708192842,1.4664773894205972e-09,-9.593161854610532,2.6024146630783018e-09
2025-07-21,-9.826421318804398,1.1781905022590664e-09,-9.602209460610615,2.3203092346142367e-09,-9.661071020707501,1.9575989746351302e-09,-9.765787564740895,1.4276597331981992e-09,-9.62705433022474,2.160937447490464e-09
2025-07-22,-9.77752219785965,1.033033558380036e-09,-9.60215445842259,1.88125222428331e-09,-9.652149649739906,1.598917633656919e-09,-9.748149412171514,1.1492693510698689e-09,-9.63458487672952,1.6940318050072162e-09
2025-07-23,-9.643871318831941,5.785343487233821e-10,-9.513237042527763,1.1608540951142365e-09,-9.547830086983916,9.820919623246159e-10,-9.607010489722697,7.183960422816085e-10,-9.54783633103802,9.820614083538147e-10
2025-07-24,-9.886450639780398,1.7910879006262154e-09,-9.752207304184244,2.4656400421076756e-09,-9.865190373330622,1.885182013442432e-09,-10.043914921937388,1.2161470350594192e-09,-9.808824677213705,2.1569208261029927e-09
2025-07-25,-9.915479340287302,1.2577192015877581e-09,-9.748129559256146,1.986309276455276e-09,-9.844710420988132,1.531499490801007e-09,-9.988315037296909,1.020147190379549e-09,-9.812506089131194,1.6719677400630178e-09
2025-07-28,-9.899981339984484,1.4971625382254422e-09,-9.795388406956683,1.959635668984047e-09,-9.901867266267958,1.4897921678953285e-09,-10.082394135931434,9.142230031233457e-10,-9.87178476003454,1.6112284856644576e-09
2025-07-29,-9.731041119817423,4.764644145353303e-10,-9.60291609664411,9.513475364097502e-10,-9.671815678879957,6.714024178259176e-10,-9.76872066441299,3.718892432408103e-10,-9.666594407829178,6.905185879417265e-10
2025-07-30,-9.293124782350548,7.618258753779643e-12,-9.253682552908089,1.4635605041106325e-10,-9.274419801503807,6.618846840329582e-11,-9.287614060189561,2.3227010553631037e-11,-9.278997431307252,5.0502134417515806e-11
2025-07-31,-8.231122536103712,1.2955724042283434e-09,-8.356067404883778,8.837578004982229e-10,-8.298223115547458,1.0901922472342112e-09,-8.279516995166288,1.1506568439281203e-09,-8.252212984164455,1.2343155614682704e-09
2025-08-01,-8.966420914398284,8.613908022394849e-11,-8.97946464145995,1.0566675631737968e-11,-8.974104924933398,2.927948827053916e-11,-8.980532831450105,6.56219559454436e-12,-8.95660554586819,8.194047894829632e-11
2025-08-04,-9.094760330089198,2.294431336731612e-09,-9.256132442458119,8.245750150600534e-10,-9.179201910542375,1.4218720967043315e-09,-9.191454145945375,1.3150023786022573e-09,-9.308169231656196,5.124315922889438e-10
2025-08-05,-9.029518888974245,3.3937459668559595e-09,-9.179713333349223,1.596718288709792e-09,-9.216622699410507,1.2747158219851864e-09,-9.313489262090982,6.116553086187319e-10,-9.234181459185725,1.135720196988176e-09
2025-08-06,-9.159825994712788,2.4153614195582826e-09,-9.235890553630295,1.65914635086628e-09,-9.25781579744838,1.4732068474393193e-09,-9.306598204166342,1.1055927378810657e-09,-9.296516736478294,1.1765801410377523e-09
