Date,omega,alpha,beta,persistence,sigma2,sigma
2022-04-22,0.00013444827,0.14011234,0.73597056,0.8760829,0.000920867,0.03034579
2022-04-25,6.5990665e-05,0.106793776,0.7778268,0.88462055,0.0008522897,0.029194001
2022-04-26,9.889389e-05,0.10004012,0.7773052,0.8773453,0.00086279283,0.029373335
2022-04-27,4.229219e-06,0.06349721,0.8569054,0.9204026,0.0008679058,0.02946024
2022-04-28,2.0220572e-05,0.09345503,0.80499864,0.89845365,0.0007484885,0.027358519
2022-04-29,1.8719509e-06,0.052100465,0.8740796,0.92618006,0.000718483,0.026804533
2022-05-02,0.00012980682,0.1656107,0.7163889,0.8819996,0.0006321447,0.025142487
2022-05-03,4.7951607e-06,0.11024576,0.82073927,0.93098503,0.00058582454,0.024203813
2022-05-04,2.911076e-05,0.10526716,0.7923672,0.8976344,0.0005648021,0.023765566
2022-05-05,5.210973e-06,0.071229905,0.8510176,0.9222475,0.0007523468,0.027428942
2022-05-06,9.102528e-05,0.1539349,0.72229517,0.87623006,0.0006465864,0.025428064
2022-05-09,1.4320368e-05,0.10643463,0.8038976,0.91033226,0.00058670214,0.024221934
2022-05-10,7.709804e-05,0.10143367,0.79419816,0.89563185,0.0009083235,0.030138405
2022-05-11,9.777576e-05,0.11250565,0.7631993,0.875705,0.000909242,0.03015364
2022-05-12,6.45122e-05,0.10641077,0.7807164,0.88712716,0.0011665756,0.034155168
2022-05-13,3.9118662e-05,0.1131745,0.7810482,0.8942227,0.0009767785,0.031253453
2022-05-16,1.5330876e-05,0.08751056,0.82293534,0.9104459,0.0009835749,0.031361997
2022-05-17,4.117815e-05,0.11002241,0.78713065,0.8971531,0.0009189969,0.030314961
2022-05-18,4.7206046e-05,0.1183562,0.77775955,0.8961158,0.00079305406,0.028161215
2022-05-19,0.00021279782,0.14231943,0.7270679,0.8693873,0.00074113376,0.027223771
2022-05-20,1.7172268e-05,0.082968175,0.8203372,0.90330535,0.00082969526,0.02880443
2022-05-23,6.765431e-05,0.13215828,0.7522611,0.8844194,0.0007042861,0.026538389
2022-05-24,4.0209445e-05,0.10642136,0.7874977,0.89391905,0.00069038686,0.026275214
2022-05-25,4.4518983e-05,0.12376496,0.76423997,0.8880049,0.0005864792,0.024217334
