Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2026-01-29,-7.7157989954010215,3.5851264539949222e-09,-7.759005116470711,3.3313549437371228e-09,-7.8804895439907225,2.485800717036765e-09,-7.825736807026841,2.894854041162685e-09,-7.495302788139657,4.634123681856833e-09
2026-01-30,-9.13538867650848,1.847099572052272e-10,-9.12860376117982,2.2176473005656152e-10,-9.081758902073773,5.269957352398342e-10,-9.081050935678048,5.322682888663859e-10,-9.171637349632658,2.034073777941796e-11
2026-02-02,-9.044178675932354,1.2638058936301843e-10,-9.053579967450666,7.490052409906341e-11,-9.01833673409403,2.9212938834114163e-10,-8.99368326746104,4.810681635453248e-10,-9.068933257194962,3.1163963754963603e-12
2026-02-03,-7.5289479613248105,4.983895053039532e-09,-7.372958547527261,5.8537324612765e-09,-7.55340817850945,4.828097337387668e-09,-7.602056287897012,4.4987596249603526e-09,-6.937480057959918,7.564419093117593e-09
2026-02-04,-8.517416398801895,1.850477910198089e-10,-8.483785127085333,3.8793261275798e-10,-8.529844678640789,9.551514441648576e-11,-8.54085177505399,2.2625878767999506e-12,-8.361395728510198,9.113228939995027e-10
2026-02-05,-8.90010025047577,1.9576307411692245e-10,-8.92823433950705,6.156335633437528e-12,-8.90269387619799,1.756023961526286e-10,-8.842631486658036,7.571373811002149e-10,-8.912151486497768,6.466918811012689e-11
2026-02-06,-8.12766276744119,9.663695597414384e-10,-8.028705539676416,1.7631596915416506e-09,-8.159564494707595,6.338144515605681e-10,-8.20381742252241,3.0602838623127447e-11,-7.850655147665633,2.7557205373073546e-09
2026-02-09,-8.890433397686746,1.5142049158671997e-09,-8.918831709547023,1.1580973540095503e-09,-8.945970640665548,8.578498168198688e-10,-8.92410092617771,1.096795816136291e-09,-8.977039201555609,5.601698969691922e-10
2026-02-10,-9.281549478392053,3.0361836353631396e-09,-9.271587300858071,3.1435648528476095e-09,-9.324747271459263,2.6021157607313516e-09,-9.3084563573905,2.7599525743078423e-09,-9.38185787971233,2.1008375236373725e-09
2026-02-11,-8.90257555529031,3.6273208743559157e-10,-8.885415043917883,5.240848839325699e-10,-8.902383037975694,3.644416112229637e-10,-8.873262145610145,6.492577359027603e-10,-8.927296153969115,1.6276537398939555e-10
